ID;Carga;Deformação;tempo(s)
amostra4;32,849;0,004557;0
amostra4;32,849;0,004557;0,343743
amostra4;32,849;0,004557;0,671862
amostra4;32,849;0,012109;0,999981
amostra4;32,849;0,012109;1,343724
amostra4;32,849;0,012109;1,671843
amostra4;32,849;0,01875;1,999961
amostra4;32,849;0,01875;2,343705
amostra4;32,849;0,025911;2,671824
amostra4;32,849;0,025911;2,999942
amostra4;32,849;0,025911;3,343686
amostra4;32,849;0,033593;3,671804
amostra4;32,849;0,033593;3,999923
amostra4;32,849;0,039322;4,343667
amostra4;32,849;0,039322;4,671785
amostra4;35,9588;0,044661;4,999904
amostra4;35,9588;0,044661;5,343647
amostra4;35,9588;0,052213;5,671766
amostra4;35,9588;0,052213;5,999885
amostra4;35,9588;0,052213;6,343628
amostra4;35,9588;0,059113;6,671747
amostra4;35,9588;0,059113;6,999866
amostra4;35,9588;0,059113;7,343609
amostra4;32,849;0,066014;7,671728
amostra4;32,849;0,066014;7,999846
amostra4;35,9588;0,072525;8,34359
amostra4;35,9588;0,072525;8,671709
amostra4;35,9588;0,072525;8,999827
amostra4;32,849;0,079946;9,343571
amostra4;32,849;0,079946;9,671689
amostra4;32,849;0,086457;10,015433
amostra4;32,849;0,086457;10,343551
amostra4;32,849;0,092707;10,67167
amostra4;32,849;0,092707;11,015413
amostra4;35,9588;0,098436;11,343532
amostra4;35,9588;0,098436;11,671651
amostra4;35,9588;0,098436;12,015394
amostra4;35,9588;0,105857;12,343513
amostra4;35,9588;0,105857;12,671632
amostra4;35,9588;0,112368;13,015375
amostra4;35,9588;0,112368;13,343494
amostra4;35,9588;0,112368;13,671612
amostra4;35,9588;0,119659;14,015356
amostra4;35,9588;0,119659;14,343474
amostra4;35,9588;0,125779;14,671593
amostra4;35,9588;0,125779;14,999712
amostra4;32,849;0,130727;15,343455
amostra4;32,849;0,130727;15,671574
amostra4;32,849;0,136977;15,999693
amostra4;32,849;0,136977;16,343436
amostra4;32,849;0,142445;16,671555
amostra4;32,849;0,142445;16,999673
amostra4;32,849;0,147653;17,343417
amostra4;32,849;0,147653;17,671535
amostra4;35,9588;0,154424;17,999654
amostra4;35,9588;0,154424;18,343398
amostra4;35,9588;0,154424;18,671516
amostra4;32,849;0,161976;18,999635
amostra4;32,849;0,161976;19,343379
amostra4;32,849;0,161976;19,671497
amostra4;32,849;0,161976;20,015241
amostra4;32,849;0,170439;20,343359
amostra4;32,849;0,170439;20,671478
amostra4;32,849;0,178773;21,015222
amostra4;32,849;0,178773;21,34334
amostra4;32,849;0,178773;21,671459
amostra4;35,9588;0,186064;22,015202
amostra4;35,9588;0,186064;22,343321
amostra4;35,9588;0,192965;22,67144
amostra4;35,9588;0,192965;23,015183
amostra4;35,9588;0,192965;23,343302
amostra4;32,849;0,200647;23,671421
amostra4;32,849;0,200647;24,015164
amostra4;32,849;0,200647;24,343283
amostra4;32,849;0,20846;24,671401
amostra4;32,849;0,20846;25,015145
amostra4;32,849;0,214709;25,343263
amostra4;32,849;0,214709;25,671382
amostra4;32,849;0,220308;26,015125
amostra4;32,849;0,220308;26,343244
amostra4;32,849;0,220308;26,671363
amostra4;32,849;0,226949;27,015106
amostra4;32,849;0,226949;27,343225
amostra4;32,849;0,226949;27,671344
amostra4;32,849;0,235542;28,015087
amostra4;32,849;0,235542;28,343206
amostra4;32,849;0,241922;28,671324
amostra4;32,849;0,241922;29,015068
amostra4;35,9588;0,248042;29,343186
amostra4;35,9588;0,248042;29,671305
amostra4;32,849;0,253641;30,015049
amostra4;32,849;0,253641;30,343167
amostra4;32,849;0,258849;30,671286
amostra4;32,849;0,258849;31,015029
amostra4;32,849;0,264448;31,343148
amostra4;32,849;0,264448;31,671267
amostra4;32,849;0,270828;32,01501
amostra4;32,849;0,270828;32,343129
amostra4;32,849;0,270828;32,671247
amostra4;32,849;0,27812;33,014991
amostra4;32,849;0,27812;33,34311
amostra4;35,9588;0,284109;33,671228
amostra4;35,9588;0,284109;34,014972
amostra4;35,9588;0,284109;34,343091
amostra4;32,849;0,291661;34,671209
amostra4;32,849;0,291661;35,014953
amostra4;32,849;0,297651;35,343071
amostra4;32,849;0,297651;35,67119
amostra4;32,849;0,304682;36,014934
amostra4;32,849;0,304682;36,343052
amostra4;32,849;0,304682;36,671171
amostra4;35,9588;0,311452;37,014914
amostra4;35,9588;0,311452;37,343033
amostra4;35,9588;0,311452;37,671152
amostra4;32,849;0,318353;38,014895
amostra4;32,849;0,318353;38,343014
amostra4;32,849;0,325645;38,671133
amostra4;32,849;0,325645;39,014876
amostra4;32,849;0,325645;39,342995
amostra4;32,849;0,333067;39,671113
amostra4;32,849;0,333067;40,014857
amostra4;32,849;0,340749;40,342975
amostra4;32,849;0,340749;40,671094
amostra4;32,849;0,340749;41,014837
amostra4;35,9588;0,348561;41,342956
amostra4;35,9588;0,348561;41,671075
amostra4;35,9588;0,348561;42,014818
amostra4;35,9588;0,355983;42,342937
amostra4;35,9588;0,355983;42,671056
amostra4;35,9588;0,355983;43,014799
amostra4;35,9588;0,363404;43,342918
amostra4;35,9588;0,363404;43,671036
amostra4;32,849;0,370696;44,01478
amostra4;32,849;0,370696;44,342898
amostra4;32,849;0,370696;44,671017
amostra4;35,9588;0,378248;45,01476
amostra4;35,9588;0,378248;45,342879
amostra4;35,9588;0,378248;45,670998
amostra4;32,849;0,385539;46,014741
amostra4;32,849;0,385539;46,34286
amostra4;32,849;0,39218;46,670979
amostra4;32,849;0,39218;47,014722
amostra4;32,849;0,39218;47,342841
amostra4;32,849;0,400513;47,670959
amostra4;32,849;0,400513;48,014703
amostra4;32,849;0,406372;48,342822
amostra4;32,849;0,406372;48,67094
amostra4;32,849;0,412492;49,014684
amostra4;32,849;0,412492;49,342803
amostra4;32,849;0,412492;49,670921
amostra4;32,849;0,419784;50,014665
amostra4;32,849;0,419784;50,342783
amostra4;32,849;0,419784;50,670902
amostra4;35,9588;0,428507;51,014646
amostra4;35,9588;0,428507;51,342764
amostra4;35,9588;0,428507;51,670883
amostra4;35,9588;0,435929;52,014626
amostra4;35,9588;0,435929;52,342745
amostra4;35,9588;0,435929;52,670864
amostra4;35,9588;0,444523;53,014607
amostra4;35,9588;0,444523;53,342726
amostra4;35,9588;0,450382;53,670845
amostra4;35,9588;0,450382;54,014588
amostra4;32,849;0,456241;54,342707
amostra4;32,849;0,456241;54,670825
amostra4;35,9588;0,462752;55,014569
amostra4;35,9588;0,462752;55,342687
amostra4;35,9588;0,462752;55,670806
amostra4;32,849;0,469652;56,014549
amostra4;32,849;0,469652;56,342668
amostra4;32,849;0,475902;56,670787
amostra4;32,849;0,475902;57,01453
amostra4;32,849;0,475902;57,342649
amostra4;32,849;0,483584;57,670768
amostra4;32,849;0,483584;58,014511
amostra4;35,9588;0,489834;58,34263
amostra4;35,9588;0,489834;58,670748
amostra4;32,849;0,495303;59,014492
amostra4;32,849;0,495303;59,34261
amostra4;32,849;0,500772;59,670729
amostra4;32,849;0,500772;60,014472
amostra4;35,9588;0,50637;60,342591
amostra4;35,9588;0,50637;60,67071
amostra4;35,9588;0,50637;61,014453
amostra4;35,9588;0,514443;61,342572
amostra4;35,9588;0,514443;61,670691
amostra4;32,849;0,520563;62,014434
amostra4;32,849;0,520563;62,342553
amostra4;32,849;0,520563;62,670671
amostra4;32,849;0,528115;63,014415
amostra4;32,849;0,528115;63,342534
amostra4;32,849;0,528115;63,670652
amostra4;32,849;0,535537;64,014396
amostra4;32,849;0,535537;64,342515
amostra4;32,849;0,542568;64,670633
amostra4;32,849;0,542568;65,014377
amostra4;32,849;0,542568;65,342495
amostra4;32,849;0,55012;65,686239
amostra4;32,849;0,55012;66,014358
amostra4;32,849;0,5565;66,342476
amostra4;32,849;0,5565;66,670595
amostra4;32,849;0,5565;67,014338
amostra4;32,849;0,564182;67,342457
amostra4;32,849;0,564182;67,670576
amostra4;32,849;0,564182;68,014319
